seq,ts_emit,w,bit
581,1789388429260938761,0.475,1
582,1789388429261528046,0.475,1
583,1789388429262177033,0.475,1
584,1789388429262817125,0.475,1
585,1789388429263408660,0.0,0
586,1789388429264010036,0.0,0
587,1789388429264606403,0.475,1
588,1789388429265216603,0.475,1
589,1789388429265808184,0.475,1
590,1789388429266399965,0.475,1
591,1789388429267025237,0.475,1
592,1789388429267679133,0.475,1
593,1789388429268302951,0.475,1
594,1789388429268955307,0.475,1
595,1789388429269605027,0.475,1
596,1789388429270246825,0.475,1
597,1789388429270893653,0.475,1
598,1789388429271542107,0.475,1
599,1789388429272129732,0.475,1
600,1789388429272734057,0.475,1
601,1789388429273364235,0.475,1
602,1789388429274020203,0.475,1
603,1789388429274664356,0.475,1
604,1789388429275307577,0.475,1
605,1789388429275951687,0.475,1
606,1789388429276592171,0.475,1
607,1789388429277233359,0.475,1
608,1789388429277875260,0.475,1
609,1789388429278524609,0.475,1
610,1789388429279108687,0.475,1
611,1789388429279697808,0.475,1
612,1789388429280295473,0.475,1
613,1789388429280911366,0.475,1
614,1789388429281514476,0.475,1
615,1789388429282123799,0.475,1
616,1789388429282736576,0.475,1
617,1789388429283339365,0.475,1
618,1789388429283963064,0.475,1
619,1789388429284577883,0.475,1
620,1789388429285169602,0.475,1
621,1789388429285779740,0.475,1
622,1789388429286382143,0.0,0
623,1789388429286986491,0.475,1
624,1789388429287622790,0.475,1
625,1789388429288216923,0.475,1
626,1789388429288820993,0.475,1
627,1789388429289415020,0.475,1
628,1789388429290015192,0.475,1
629,1789388429290661279,0.475,1
630,1789388429291254226,0.0,0
631,1789388429291838488,0.475,1
632,1789388429292462154,0.475,1
633,1789388429293048667,0.475,1
634,1789388429293652422,0.475,1
635,1789388429294283280,0.475,1
636,1789388429294872732,0.475,1
637,1789388429295536825,0.475,1
638,1789388429296132920,0.475,1
639,1789388429296732865,0.475,1
640,1789388429297388538,0.475,1
641,1789388429298001862,0.0,0
642,1789388429298647654,0.475,1
643,1789388429299292919,0.475,1
644,1789388429299886601,0.475,1
645,1789388429300475629,0.475,1
646,1789388429301061138,0.475,1
647,1789388429301694183,0.475,1
648,1789388429302362184,0.0,0
649,1789388429302971990,0.475,1
650,1789388429303622543,0.475,1
651,1789388429304208668,0.475,1
652,1789388429304801717,0.0,0
653,1789388429305458784,0.475,1
654,1789388429306103636,0.475,1
655,1789388429306680536,0.475,1
656,1789388429307289196,0.475,1
657,1789388429307891271,0.0,0
658,1789388429308489190,0.475,1
659,1789388429309129903,0.0,0
660,1789388429309791284,0.475,1
661,1789388429310421445,0.475,1
662,1789388429310999950,0.0,0
663,1789388429311639031,0.475,1
664,1789388429312238106,0.475,1
665,1789388429312833864,0.475,1
666,1789388429313485682,0.475,1
667,1789388429314070223,0.475,1
668,1789388429314656746,0.0,0
669,1789388429315301951,0.475,1
670,1789388429315990397,0.475,1
671,1789388429316641051,0.475,1
672,1789388429317226745,0.475,1
673,1789388429317872298,0.475,1
674,1789388429318520523,0.475,1
675,1789388429319161152,0.475,1
676,1789388429319744826,0.475,1
677,1789388429320323138,0.475,1
678,1789388429320929477,0.475,1
679,1789388429321512895,0.475,1
680,1789388429322095095,0.475,1
681,1789388429322746327,0.475,1
682,1789388429323395773,0.475,1
683,1789388429324057888,0.475,1
684,1789388429324730662,0.0,0
685,1789388429325381951,0.475,1
686,1789388429326023898,0.475,1
687,1789388429326719193,0.475,1
688,1789388429327420237,0.475,1
689,1789388429328012488,0.475,1
690,1789388429328616932,0.475,1
691,1789388429329287131,0.475,1
692,1789388429329913040,0.475,1
693,1789388429330501228,0.475,1
694,1789388429331126044,0.475,1
695,1789388429331812707,0.475,1
696,1789388429332469309,0.475,1
697,1789388429333052918,0.475,1
698,1789388429333704415,0.475,1
699,1789388429334353733,0.475,1
700,1789388429334957468,0.475,1
701,1789388429335562021,0.475,1
702,1789388429336160621,0.475,1
703,1789388429336754615,0.0,0
704,1789388429337343416,0.475,1
705,1789388429337922498,0.475,1
706,1789388429338568169,0.475,1
707,1789388429339211422,0.0,0
708,1789388429339855518,0.475,1
709,1789388429340495787,0.475,1
710,1789388429341069515,0.475,1
711,1789388429341648914,0.475,1
712,1789388429342234481,0.0,0
713,1789388429342822438,0.475,1
714,1789388429343477762,0.475,1
