count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
575,80035,0,80035,80035,0,0,0
576,154844,0,154844,154844,0,0,0
577,113084,0,113084,113084,0,0,0
578,106729,0,106729,106729,0,0,1
579,128701,0,128701,128701,0,0,0
580,86522,0,86522,86522,0,0,0
581,81566,0,81566,81566,0,0,0
582,85291,0,85291,85291,0,0,0
583,80555,0,80555,80555,0,0,1
584,90496,0,90496,90496,0,0,1
585,77796,0,77796,77796,0,0,1
586,90631,0,90631,90631,0,0,0
587,72778,0,72778,72778,0,0,1
588,68965,0,68965,68965,0,0,1
589,64203,0,64203,64203,0,0,1
590,64027,0,64027,64027,0,0,1
591,79625,0,79625,79625,0,0,0
592,92733,0,92733,92733,0,0,0
593,65902,0,65902,65902,0,0,1
594,150272,0,150272,150272,0,0,0
595,92133,0,92133,92133,0,0,1
596,232889,0,232889,232889,0,0,0
597,254596,0,254596,254596,0,0,1
598,99316,0,99316,99316,0,0,0
599,158817,0,158817,158817,0,0,1
600,204099,0,204099,204099,0,0,1
601,741117,0,741117,741117,0,0,0
602,234626,0,234626,234626,0,0,0
603,956251,0,956251,956251,0,0,1
604,449116,0,449116,449116,0,0,0
605,64033,0,64033,64033,0,0,0
606,250101,0,250101,250101,0,0,1
607,172536,0,172536,172536,0,0,0
608,125726,0,125726,125726,0,0,0
609,1714522,0,1714522,1714522,0,0,1
610,1190868,0,1190868,1190868,0,0,0
611,686788,0,686788,686788,0,0,0
612,181984,0,181984,181984,0,0,1
613,233066,0,233066,233066,0,0,1
614,364221,0,364221,364221,0,0,1
615,323816,0,323816,323816,0,0,0
616,198277,0,198277,198277,0,0,0
617,229512,0,229512,229512,0,0,1
618,567813,0,567813,567813,0,0,0
619,94306,0,94306,94306,0,0,1
620,325309,0,325309,325309,0,0,1
621,116577,0,116577,116577,0,0,0
622,189749,0,189749,189749,0,0,0
623,284715,0,284715,284715,0,0,1
624,230363,0,230363,230363,0,0,1
