count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
501,1224013,0,1224013,1224013,0,0,0
502,717935,0,717935,717935,0,0,1
503,213263,0,213263,213263,0,0,0
504,81943,0,81943,81943,0,0,1
505,869549,0,869549,869549,0,0,1
506,364130,0,364130,364130,0,0,0
507,65559,0,65559,65559,0,0,0
508,76748,0,76748,76748,0,0,0
509,271017,0,271017,271017,0,0,1
510,221211,0,221211,221211,0,0,0
511,234650,0,234650,234650,0,0,1
512,542564,0,542564,542564,0,0,1
513,34607,0,34607,34607,0,0,1
514,2611041,0,2611041,2611041,0,0,1
515,2106776,0,2106776,2106776,0,0,0
516,1602966,0,1602966,1602966,0,0,1
517,1097347,0,1097347,1097347,0,0,0
518,593771,0,593771,593771,0,0,0
519,90262,0,90262,90262,0,0,0
520,689343,0,689343,689343,0,0,1
521,182369,0,182369,182369,0,0,0
522,512335,0,512335,512335,0,0,0
523,202452,0,202452,202452,0,0,0
524,1594418,0,1594418,1594418,0,0,0
525,1087687,0,1087687,1087687,0,0,0
526,582334,0,582334,582334,0,0,1
527,78219,0,78219,78219,0,0,0
528,547094,0,547094,547094,0,0,1
529,47823,0,47823,47823,0,0,1
530,1795045,0,1795045,1795045,0,0,0
531,1291401,0,1291401,1291401,0,0,0
532,787592,0,787592,787592,0,0,0
533,282067,0,282067,282067,0,0,1
534,577421,0,577421,577421,0,0,1
535,69459,0,69459,69459,0,0,1
536,2722608,0,2722608,2722608,0,0,1
537,2215918,0,2215918,2215918,0,0,1
538,1711000,0,1711000,1711000,0,0,0
539,1205048,0,1205048,1205048,0,0,1
540,701114,0,701114,701114,0,0,0
541,197959,0,197959,197959,0,0,0
542,1453685,0,1453685,1453685,0,0,0
543,947035,0,947035,947035,0,0,0
544,442410,0,442410,442410,0,0,0
545,944813,0,944813,944813,0,0,0
546,437318,0,437318,437318,0,0,0
547,65619,0,65619,65619,0,0,1
548,381667,0,381667,381667,0,0,1
549,62703,0,62703,62703,0,0,0
550,55214,0,55214,55214,0,0,1
551,139225,0,139225,139225,0,0,1
