count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_rtt_ns
659,4879926,4830580,49346,39854663,12816144
660,4877797,4830580,47217,39854663,12816144
661,4878646,4830580,48066,39854663,12816144
662,4885608,4830580,55028,39854663,12816144
663,4881826,4830580,51246,39854663,12816144
664,4878828,4830580,48248,39854663,12816144
665,4874418,4830580,43838,39854663,12816144
666,4869329,4830580,38749,39854663,12816144
667,4863763,4830580,33183,39854663,12816144
668,4859903,4830580,29323,39854663,12816144
669,4855203,4830580,24623,39854663,12816144
670,4834923,4830580,4343,39854663,12816144
671,4812046,4830580,-18534,39854663,12816144
672,4806938,4830580,-23642,39854663,12816144
673,4807046,4830580,-23534,39854663,12816144
674,4804925,4830580,-25655,39854663,12816144
675,4799736,4830580,-30844,39854663,12816144
676,4791620,4830580,-38960,39854663,12816144
677,4770778,4830580,-59802,39854663,12816144
678,4766326,4830580,-64254,39854663,12816144
679,4763465,4830580,-67115,39854663,12816144
680,4761014,4830580,-69566,39854663,12816144
681,4757578,4830580,-73002,39854663,12816144
682,4755153,4830580,-75427,39854663,12816144
683,4752851,4830580,-77729,39854663,12816144
684,4750406,4830580,-80174,39854663,12816144
685,4747137,4830580,-83443,39854663,12816144
686,4744407,4830580,-86173,39854663,12816144
687,4741687,4830580,-88893,39854663,12816144
688,4736505,4830580,-94075,39854663,12816144
