count_idx,delay_ns,loop_gap_ns,recv_block_ns
785,47436,8141,8067
786,45787,20323,9529
787,29470,13946,8824
788,35160,12988,22411
789,118241,26709,102607
790,110121,115227,66246
791,167371,79281,125086
792,95301,150610,8867
793,61393,28278,6795
794,49202,14504,6253
795,57477,12772,22347
796,50522,29624,5883
797,39990,12054,5697
798,33038,12767,5143
799,31748,11283,6833
800,38838,13307,7697
801,36138,22210,6038
802,37894,13269,8135
803,38807,15125,14177
804,44542,22886,13883
805,39359,20699,11721
806,30099,17881,11209
807,32372,17845,12217
808,35343,26971,6976
809,35796,13717,11614
810,39799,19514,11973
811,28279,18427,13037
812,65726,20476,47548
813,46736,56924,8335
814,187078,66128,36403
815,211758,143579,7391
816,192605,14932,5214
817,172407,9965,4682
818,154678,8991,3915
819,140937,8095,4303
820,128608,8601,3979
821,114328,8057,3864
822,120973,8048,4119
823,116519,27108,4536
824,110256,8795,3930
825,103151,8031,4317
826,96879,8718,4019
827,86085,8281,3767
828,73463,7859,4458
829,60144,8597,4017
830,47544,11543,4730
831,30277,9051,5561
832,63950,9826,43929
833,57461,48497,4335
834,57615,8826,10060
835,50223,14254,26894
836,43567,31523,29350
837,36727,40375,9027
838,36640,13414,21789
839,28150,28538,8577
840,92942,12851,90020
841,122553,103110,78024
842,59181,95548,8120
843,46801,15032,4585
844,47326,9251,5479
845,41982,15365,3853
846,37311,8082,4393
847,41359,8483,14128
848,32377,18482,7911
849,131289,12408,116994
850,98147,142346,9151
851,76876,15142,6575
852,62915,17497,3954
853,45730,8322,4300
854,42281,8491,16444
855,31810,20716,8125
856,133975,12314,120530
857,92793,145975,9802
858,71715,15675,3972
859,65303,14931,4064
860,52015,8537,4440
861,48985,8726,15934
862,30920,20273,8197
863,245689,12449,143296
864,242298,270192,33303
865,198072,44934,8357
866,203641,16212,6521
867,197604,29637,5781
868,191175,12778,5869
869,190456,13250,5824
870,191444,13040,6010
871,192065,13149,6133
872,158587,13858,5554
873,149305,13245,5696
874,150370,18727,5437
875,146767,11787,5843
876,179068,13037,37247
877,190559,54499,11468
878,193803,22332,8725
879,193597,17586,5853
880,183492,13647,5401
881,174723,18998,5477
882,161547,13562,5368
883,151613,12704,5242
884,143785,12689,5530
885,135998,13107,6045
886,174247,10719,49983
887,167856,56545,5611
888,175989,17698,6940
889,176921,14073,5153
890,177767,12328,5172
891,183926,11763,7093
892,189217,13849,4940
893,195457,11541,6049
894,200829,12737,5117
895,252735,12241,42514
896,256566,64029,6335
897,241403,11832,4429
898,246642,11479,5013
899,256520,11161,9636
900,265494,47640,8068
901,250565,15788,5875
902,243475,12489,5610
903,240944,17472,5897
904,232725,12996,5678
905,154839,12712,7127
906,124641,14596,5252
907,123047,12175,6339
908,149926,14757,31924
909,149888,39603,6144
910,150725,19806,6903
911,143467,15786,6143
912,130408,14959,6638
913,109951,15183,6106
914,61486,14647,6832
915,47800,14411,6273
916,43829,13409,11114
917,41509,17131,11478
918,28565,23287,10460
919,46949,16143,32938
920,32786,39704,10891
921,34106,17370,19484
922,46767,26054,29929
923,41022,38845,12383
924,29847,18766,10464
925,128280,23549,116027
926,72094,136177,11230
927,52037,21542,6853
928,46230,14171,11444
929,42618,19160,13575
930,31754,20621,10843
931,176868,17562,154875
932,112024,199428,13831
933,100793,25726,6795
934,94056,15854,6066
935,87935,14856,5990
936,84110,14752,5615
937,80243,13921,5957
938,76478,13946,5775
939,77200,14398,5882
940,72431,19127,5525
941,63669,12498,5072
942,76865,11780,25994
943,280646,32853,207701
944,188480,235941,122991
945,66815,143312,13107
946,47458,23147,11098
947,51992,28576,13307
948,42096,19084,13401
949,38838,20558,13071
950,49071,18054,30363
951,40888,40219,12202
952,30588,18865,10621
953,167917,17161,143666
954,122399,190805,13656
955,102390,23537,6549
956,90047,13073,6619
957,83080,14928,5802
958,72752,12532,5116
959,66850,11969,8019
960,94335,15547,43616
961,77241,50647,11878
962,188896,26131,129410
963,62283,143941,10863
964,60725,22138,20994
965,54795,30949,11292
966,193118,19163,147515
967,113274,183278,11308
968,89215,18341,4063
969,79673,16411,4417
970,65749,8991,4886
971,52315,9187,3979
972,49545,8048,15530
973,39663,19875,9141
974,54764,13447,42432
975,265274,49506,233321
976,158092,280318,13753
977,95569,23028,5528
978,78647,10451,4052
979,65577,8611,4015
980,90801,8286,39417
981,80525,44028,8406
982,191620,12650,148777
983,134676,186805,15797
984,115216,40868,5436
985,97871,12356,4996
986,117842,12288,37677
987,190649,45152,137776
988,160271,156006,109734
989,90925,134458,14920
990,43764,24333,12329
991,44602,29841,11711
992,241749,19753,209080
993,97269,238532,11922
994,43729,18976,7426
995,37717,12312,3955
996,32976,8440,4469
997,64394,8722,40166
998,78630,58657,11517
999,74024,16030,3938
1000,67757,8082,3580
1001,63977,8018,3904
1002,52316,8294,3716
1003,40752,7833,4208
1004,31506,8308,7612
1005,32308,12167,7395
1006,23992,20219,8545
1007,40981,12833,29457
1008,30938,36393,8368
1009,152373,12649,135235
1010,72324,159493,12557
1011,45256,21836,10453
1012,27697,17294,8600
1013,47683,19718,30863
1014,31391,37969,8852
1015,130461,13336,114084
1016,90898,138288,11107
1017,72753,20898,5203
1018,62736,12285,16995
1019,50034,21546,6995
1020,39856,18357,8363
1021,145694,12841,123917
1022,104841,149095,9898
1023,55652,16797,11648
1024,43049,16393,10771
1025,304793,16780,272332
1026,269552,303850,257923
1027,133945,306443,15794
1028,118933,26011,7156
1029,112132,15465,6364
1030,108266,14716,5778
1031,103040,14238,5615
1032,96209,13977,5781
1033,89469,14535,5802
1034,82498,19155,5423
1035,70960,13876,5421
1036,62337,13947,5918
1037,72067,14399,34733
1038,62307,43406,5624
1039,64102,13500,15008
1040,50114,23349,6404
1041,46146,19573,11277
1042,43980,19714,11882
1043,35026,20301,11322
1044,34590,19500,16696
1045,30549,25077,12860
1046,60803,21274,44504
1047,52492,56281,14868
1048,54013,23737,12447
1049,46773,25650,6248
1050,91466,14764,12374
1051,88663,73969,6027
1052,88316,14342,10289
1053,420781,17591,331860
1054,105983,368496,17343
1055,52332,29047,7352
1056,68603,31404,7720
1057,68388,16414,6875
1058,69905,15419,6616
1059,70088,14910,6974
1060,71442,15009,6743
1061,71811,14916,6631
1062,71691,14773,6732
1063,96296,38952,7163
1064,95467,15708,6960
1065,96947,14930,8222
1066,85320,16843,6493
1067,83774,14870,6963
1068,84094,15530,6421
1069,85019,15061,7128
1070,81721,15638,6503
1071,69059,19870,7495
1072,59144,16205,5425
1073,51425,14156,6888
1074,44124,15604,6265
1075,70727,15155,37900
1076,73657,46488,16342
1077,69215,23561,10998
1078,46402,23865,7620
1079,39595,14887,16201
1080,39866,24040,6843
1081,39958,14680,7077
1082,38837,15631,6735
1083,38795,14580,7189
1084,38760,14734,7095
1085,45700,19492,8926
1086,45062,17642,6115
1087,44748,14784,6211
1088,46108,14950,6641
1089,48395,15335,8323
