count_idx,delay_ns,clock_offset_ns,clock_sync_rtt_ns
1065,10984,-679,32284
1066,21913,-679,32284
1067,10901,-679,32284
1068,8583,-679,32284
1069,6781,-679,32284
1070,5277,-679,32284
1071,5612,-679,32284
1072,5180,-679,32284
1073,25617,-679,32284
1074,9771,-679,32284
1075,6855,-679,32284
1076,7048,-679,32284
1077,4674,-679,32284
1078,4284,-679,32284
1079,10230,-679,32284
1080,7007,-679,32284
1081,4283,-679,32284
1082,7154,-679,32284
1083,5729,-679,32284
1084,4160,-679,32284
1085,6403,-679,32284
1086,5397,-679,32284
1087,8899,-679,32284
1088,5215,-679,32284
1089,3471,-679,32284
1090,23692,-679,32284
1091,6495,-679,32284
1092,4687,-679,32284
1093,3503,-679,32284
1094,8521,-679,32284
1095,5782,-679,32284
1096,5502,-679,32284
1097,6025,-679,32284
1098,3880,-679,32284
1099,3359,-679,32284
1100,8195,-679,32284
1101,4930,-679,32284
1102,25872,-679,32284
1103,9765,-679,32284
1104,6493,-679,32284
1105,5093,-679,32284
1106,9098,-679,32284
1107,5693,-679,32284
1108,5838,-679,32284
1109,5111,-679,32284
1110,3251,-679,32284
1111,22635,-679,32284
1112,6057,-679,32284
1113,4701,-679,32284
1114,4420,-679,32284
1115,6213,-679,32284
1116,5590,-679,32284
1117,3324,-679,32284
1118,7476,-679,32284
1119,8024,-679,32284
1120,5610,-679,32284
1121,3996,-679,32284
1122,5682,-679,32284
1123,4819,-679,32284
1124,4262,-679,32284
1125,6541,-679,32284
1126,5451,-679,32284
1127,25601,-679,32284
1128,8690,-679,32284
1129,9916,-679,32284
1130,6997,-679,32284
1131,5032,-679,32284
1132,3807,-679,32284
1133,4559,-679,32284
1134,3696,-679,32284
1135,25975,-679,32284
1136,18433,-679,32284
1137,7710,-679,32284
1138,5728,-679,32284
1139,4658,-679,32284
1140,5017,-679,32284
1141,7902,-679,32284
1142,5533,-679,32284
1143,3537,-679,32284
1144,28636,-679,32284
1145,11505,-679,32284
1146,8446,-679,32284
1147,8520,-679,32284
1148,6181,-679,32284
1149,4273,-679,32284
1150,9817,-679,32284
1151,8303,-679,32284
1152,7555,-679,32284
1153,5651,-679,32284
1154,4880,-679,32284
1155,3105,-679,32284
1156,6270,-679,32284
1157,4957,-679,32284
1158,3176,-679,32284
1159,25295,-679,32284
1160,8833,-679,32284
1161,8465,-679,32284
1162,5720,-679,32284
1163,3953,-679,32284
1164,7408,-679,32284
1165,6020,-679,32284
1166,5066,-679,32284
1167,4117,-679,32284
1168,6372,-679,32284
1169,5035,-679,32284
1170,7631,-679,32284
1171,5115,-679,32284
1172,4784,-679,32284
1173,8857,-679,32284
1174,22626,-679,32284
1175,14033,-679,32284
1176,7690,-679,32284
1177,4726,-679,32284
1178,3395,-679,32284
1179,6235,-679,32284
1180,5180,-679,32284
1181,3793,-679,32284
1182,7351,-679,32284
1183,7830,-679,32284
1184,6091,-679,32284
1185,5306,-679,32284
1186,4482,-679,32284
1187,3165,-679,32284
1188,7329,-679,32284
1189,5496,-679,32284
1190,4613,-679,32284
1191,3619,-679,32284
1192,6443,-679,32284
1193,6405,-679,32284
1194,5082,-679,32284
1195,3994,-679,32284
1196,8271,-679,32284
1197,6041,-679,32284
1198,4774,-679,32284
1199,3779,-679,32284
1200,5773,-679,32284
1201,5357,-679,32284
1202,4101,-679,32284
1203,7303,-679,32284
1204,7053,-679,32284
1205,7248,-679,32284
1206,6792,-679,32284
1207,5544,-679,32284
1208,4604,-679,32284
1209,7933,-679,32284
1210,5925,-679,32284
1211,4780,-679,32284
1212,4092,-679,32284
1213,7323,-679,32284
1214,5835,-679,32284
1215,7031,-679,32284
1216,5585,-679,32284
1217,4679,-679,32284
1218,8679,-679,32284
1219,6213,-679,32284
1220,4951,-679,32284
1221,3496,-679,32284
1222,5474,-679,32284
1223,4951,-679,32284
1224,33396,-679,32284
1225,24726,-679,32284
1226,19702,-679,32284
1227,10330,-679,32284
1228,8469,-679,32284
1229,5524,-679,32284
1230,9464,-679,32284
1231,7655,-679,32284
1232,7266,-679,32284
1233,4075,-679,32284
1234,11273,-679,32284
1235,6230,-679,32284
1236,6116,-679,32284
1237,4432,-679,32284
1238,6985,-679,32284
1239,4105,-679,32284
1240,6905,-679,32284
1241,4052,-679,32284
1242,6617,-679,32284
1243,5368,-679,32284
1244,4736,-679,32284
1245,8306,-679,32284
1246,5082,-679,32284
1247,7569,-679,32284
1248,7016,-679,32284
1249,5374,-679,32284
1250,3706,-679,32284
1251,22347,-679,32284
1252,5453,-679,32284
1253,3286,-679,32284
