count_idx,delay_ns,loop_gap_ns
1536,39902,66824
1537,34048,10076
1538,30575,5502
1539,27743,5344
1540,24135,5365
1541,17365,5418
1542,19918,5039
1543,51052,12524
1544,27733,68546
1545,20531,8905
1546,18021,5380
1547,12681,7028
1548,9358,7952
1549,9489,7053
1550,7217,5954
1551,30804,4772
1552,53991,46540
1553,29340,58934
1554,23235,6001
1555,19369,3511
1556,17582,3125
1557,14824,3062
1558,10924,2895
1559,9197,3116
1560,16294,4496
1561,10230,15435
1562,8982,11051
1563,6112,4988
1564,9395,4527
1565,8518,11007
1566,5500,5059
1567,36282,4499
1568,55396,42669
1569,12802,66990
1570,9367,11146
1571,12825,7874
1572,18407,12875
1573,14299,19136
1574,11479,8257
1575,9143,7679
1576,17970,7846
1577,12604,19190
1578,9927,10587
1579,47080,6792
1580,21892,54364
1581,15236,6063
1582,12248,3412
1583,9743,3480
1584,9150,4517
1585,35834,7310
1586,22866,61094
1587,17183,7947
1588,16005,6082
1589,16175,5142
1590,16625,6255
1591,16002,5968
1592,16827,5920
1593,16205,5901
1594,24108,8165
1595,48960,11434
1596,38226,208083
1597,19358,45675
1598,11973,9224
1599,36713,7687
1600,28847,53575
1601,28711,31715
1602,17462,40035
1603,7342,14478
1604,7732,7133
1605,8574,7146
1606,9491,7297
1607,11308,7477
1608,9338,8409
1609,10035,7032
1610,19911,7229
1611,52532,16576
1612,20370,142959
1613,16657,9677
1614,54181,8394
1615,31037,70649
1616,24967,7525
1617,22187,3833
1618,18035,3032
1619,21150,9837
1620,17669,3191
1621,14876,3142
1622,16198,2898
1623,25455,8501
1624,7522,19198
1625,6547,4852
1626,13618,4771
1627,53277,55647
1628,54456,8502
1629,45303,6960
1630,10278,101454
1631,29556,7139
1632,15493,33501
1633,31549,12854
1634,32206,44875
1635,16570,47746
1636,13232,20036
1637,13776,8131
1638,34930,9773
1639,28123,35290
1640,15872,33605
1641,11834,7224
1642,23186,4482
1643,20547,23505
1644,14785,8790
1645,12239,4766
1646,10975,4539
1647,13155,4853
1648,50159,8481
1649,23411,177975
1650,16142,6074
1651,12072,3312
1652,13123,6960
1653,10270,3286
1654,8596,3129
1655,7574,4208
1656,13925,5280
1657,13016,15885
1658,11621,4653
1659,10586,4489
1660,11623,7588
1661,10966,5087
1662,14856,5107
1663,12404,9708
1664,11598,3576
1665,7957,4805
1666,29709,4839
1667,28590,37280
1668,15709,41870
1669,12148,6143
1670,10715,5537
1671,9858,5307
1672,22691,6194
1673,21751,17982
1674,14320,3332
1675,8685,4124
1676,38558,4832
1677,21413,212671
1678,17220,7387
1679,13843,4411
1680,11638,3685
1681,10574,3307
1682,8786,4698
1683,14346,4826
1684,13736,14435
1685,14069,11222
1686,12129,4933
1687,11492,4867
1688,11397,5771
1689,10151,4103
1690,12733,6349
1691,10953,8459
1692,13283,4772
1693,14814,10914
1694,11772,4293
1695,11439,3109
1696,10554,5985
1697,9036,4847
1698,7692,4059
1699,10058,4738
