count_idx,delay_ns,loop_gap_ns,recv_block_ns
1132,324837,5941,2717
1133,325071,5816,2647
1134,313132,5720,2828
1135,312257,5923,2786
1136,312233,5807,2630
1137,319745,10355,4655
1138,320290,8882,2810
1139,321343,5891,2756
1140,322787,5850,2722
1141,324265,5748,2752
1142,325940,5914,2741
1143,326770,5761,2652
1144,332917,5746,2753
1145,335746,11927,4278
1146,336868,7686,2743
1147,337631,5775,2743
1148,338876,5940,2640
1149,340083,5698,2703
1150,340935,5771,2709
1151,341974,5763,2794
1152,350672,10959,4669
1153,350553,8772,3112
1154,351992,6476,2956
1155,352386,6043,2859
1156,353726,5994,2855
1157,354776,5946,2898
1158,356080,6318,2848
1159,364080,10372,4733
1160,366516,9178,2852
1161,405793,5962,40837
1162,405254,44709,3185
1163,407585,6404,2987
1164,410364,6118,2917
1165,412660,5942,2923
1166,420650,6340,2913
1167,430791,12627,9974
1168,433631,13817,3172
1169,436372,6358,2716
1170,438734,5869,2847
1171,441411,5957,3092
1172,443965,6195,3022
1173,446220,6075,2825
1174,451394,11579,4541
1175,453909,8620,2991
1176,455732,6149,2772
1177,457961,5850,2809
1178,460900,5863,3740
1179,463195,6872,2967
1180,465138,6074,2803
1181,474770,10733,4827
1182,478179,9206,2968
1183,482306,6167,3993
1184,489263,7165,7132
1185,491921,10215,2719
1186,494227,5772,2711
1187,497326,5869,3258
1188,509504,6354,3171
1189,515930,16944,4852
1190,518689,8330,2883
1191,521494,6032,2870
1192,524087,5953,2908
1193,526520,5987,2862
1194,529074,5990,2758
1195,531680,5759,2856
1196,541897,11502,4606
1197,544669,8342,2852
1198,547352,6000,2743
1199,549916,5836,2673
1200,552380,5778,2713
1201,554962,5761,2722
1202,556462,5771,2700
1203,565941,10798,4596
1204,569381,8790,2807
1205,571808,5909,2720
1206,574286,5716,2672
1207,577004,5777,2731
1208,579655,5777,2763
1209,581924,5819,2748
1210,589375,5883,2633
1211,594683,12174,4288
1212,597350,7474,2908
1213,600066,6027,2791
1214,602222,5997,2756
1215,603997,5844,2759
1216,605989,5831,2638
1217,608035,5733,2637
1218,618009,11694,4332
1219,620266,7967,2728
1220,623186,5909,2729
1221,625590,5804,2658
1222,628287,5714,2725
1223,630600,5810,2787
1224,633318,5812,2756
1225,645071,12646,4599
1226,648359,8775,2901
1227,650868,6020,2744
1228,653473,5856,2682
1229,655943,5709,2835
1230,657207,5927,2794
1231,658248,5830,2690
1232,667424,5727,4979
1233,670925,13715,2861
1234,673153,6037,2804
1235,675439,5947,2756
1236,677487,5860,2673
1237,679626,5768,2726
1238,681664,5799,2779
1239,683740,5835,2679
1240,693716,11718,4295
1241,695569,7810,2748
1242,697594,5904,2779
1243,699738,5851,2682
1244,702010,5813,2758
1245,703969,5835,2721
1246,706099,5847,3056
1247,715662,11140,4547
1248,718240,8731,2813
1249,720560,5899,2758
1250,722872,5850,2722
1251,725190,5860,2656
1252,727464,5726,2647
1253,729739,5763,2667
1254,738972,5898,4841
1255,742629,13376,2799
1256,745252,5955,2739
1257,748190,5874,2742
1258,751160,5835,2784
1259,752399,5915,2782
1260,755086,5811,2679
1261,757721,5746,2755
1262,768479,11926,4522
1263,771157,8174,2983
1264,764395,6308,2822
1265,754158,5960,2712
1266,742381,5886,2702
1267,740823,5844,2668
1268,740471,5807,2651
1269,747138,11041,4415
1270,748810,8470,2865
1271,749789,5977,2723
1272,751065,5852,2671
1273,750303,5743,2651
1274,739511,5807,2714
1275,737410,5812,2710
1276,744515,10749,4563
1277,746222,8821,2730
1278,744678,5916,2735
1279,745697,5847,2690
1280,746503,5743,3022
1281,736427,6158,2898
1282,736257,6038,2840
1283,742615,5948,2865
1284,747376,12034,4474
