count_index,s2r_ns,r2a_ns,total_ns,werner
1398,194305,1614,195919,0.858725
1399,200206,2195,202401,0.854850
1400,193655,1575,195230,0.859154
1401,172971,1518,174489,0.872930
1402,170195,33241,203436,0.874800
1403,215058,1861,216919,0.845196
1404,215981,1342,217323,0.844600
1405,178008,1683,179691,0.869549
1406,215731,1757,217488,0.844762
1407,232856,1759,234615,0.833814
1408,202654,1762,204416,0.853249
1409,213038,1543,214581,0.846500
1410,181761,1753,183514,0.867040
1411,217539,1620,219159,0.843597
1412,323030,1710,324740,0.779162
1413,261018,1798,262816,0.816214
1414,243729,2541,246270,0.826960
1415,235821,1937,237758,0.831938
1416,249928,1795,251723,0.823085
1417,261412,2152,263564,0.815971
1418,407665,1646,409311,0.732161
1419,430089,1795,431884,0.720361
1420,205220,1716,206936,0.851574
1421,218735,1831,220566,0.842828
1422,430644,1727,432371,0.720072
1423,433129,1680,434809,0.718781
1424,349524,1688,351212,0.764019
1425,233358,1787,235145,0.833496
1426,392596,1700,394296,0.740241
1427,492726,1723,494449,0.688767
1428,371119,1686,372805,0.751969
1429,482497,1855,484352,0.693792
1430,227815,1643,229458,0.837017
1431,224046,2641,226687,0.839423
1432,231423,1703,233126,0.834723
1433,222766,2558,225324,0.840242
1434,400469,1738,402207,0.736005
1435,351827,1786,353613,0.762721
1436,264121,1785,265906,0.814304
1437,259038,1664,260702,0.817435
1438,238366,1527,239893,0.830331
1439,313030,1628,314658,0.784982
1440,203166,1737,204903,0.852914
1441,221816,1661,223477,0.840850
1442,201924,1447,203371,0.853726
1443,198926,1490,200416,0.855688
1444,217120,1600,218720,0.843867
1445,236272,1623,237895,0.831653
1446,202505,1310,203815,0.853346
1447,192975,1483,194458,0.859602
1448,193514,1643,195157,0.859247
1449,220361,1391,221752,0.841783
1450,295489,4506,299995,0.795334
1451,130849,1039,131888,0.901880
1452,124699,1025,125724,0.906210
1453,120321,1057,121378,0.909309
1454,118529,1015,119544,0.910581
1455,130471,1104,131575,0.902146
1456,120986,990,121976,0.908837
1457,115797,999,116796,0.912525
1458,268783,1696,270479,0.811447
1459,199215,1431,200646,0.855499
1460,191334,1546,192880,0.860685
1461,193445,1372,194817,0.859292
1462,188132,1325,189457,0.862804
1463,201447,1403,202850,0.854038
1464,261620,1827,263447,0.815843
1465,194421,1494,195915,0.858649
1466,195833,1448,197281,0.857720
1467,190832,1439,192271,0.861017
1468,219258,1412,220670,0.842492
1469,200142,1558,201700,0.854892
1470,188034,1323,189357,0.862869
1471,218888,1616,220504,0.842729
1472,194025,1345,195370,0.858910
1473,174569,1795,176364,0.871855
1474,216765,1771,218536,0.844095
1475,264368,1517,265885,0.814153
1476,197743,1797,199540,0.856465
1477,165845,1571,167416,0.877742
1478,411437,1657,413094,0.730158
1479,641658,1727,643385,0.621135
1480,199077,1676,200753,0.855589
1481,419852,3252,423104,0.725715
1482,214441,2610,217051,0.845594
1483,241601,1571,243172,0.828296
1484,429555,1740,431295,0.720639
1485,200981,1728,202709,0.854342
1486,194199,1759,195958,0.858795
1487,250930,1951,252881,0.822461
1488,426742,1841,428583,0.722106
1489,355385,1608,356993,0.760723
1490,256248,1673,257921,0.819160
1491,177602,1557,179159,0.869820
1492,141549,1260,142809,0.894410
1493,118955,1125,120080,0.910278
1494,119720,1348,121068,0.909735
1495,142775,1093,143868,0.893559
1496,120702,998,121700,0.909038
1497,115890,1020,116910,0.912459
1498,118643,1011,119654,0.910500
1499,114522,1162,115684,0.913434
1500,113737,1018,114755,0.913994
1501,112206,1008,113214,0.915088
1502,120959,1008,121967,0.908856
1503,115064,984,116048,0.913047
1504,117112,1025,118137,0.911588
1505,111118,1012,112130,0.915867
1506,117181,1052,118233,0.911539
1507,114030,1002,115032,0.913785
1508,116558,1021,117579,0.911983
1509,112640,964,113604,0.914778
1510,111346,917,112263,0.915703
