count_index,s2r_ns,r2a_ns,total_ns,werner
287,270747,1585,272332,0.810248
288,138647,1303,139950,0.896428
289,251445,1592,253037,0.822141
290,178883,1277,180160,0.868963
291,281571,1716,283287,0.803678
292,299824,1332,301156,0.792759
293,359062,1771,360833,0.758665
294,264463,1813,266276,0.814094
295,187053,1307,188360,0.863520
296,193404,1275,194679,0.859319
297,169524,1148,170672,0.875253
298,221508,1201,222709,0.841048
299,283815,1892,285707,0.802325
300,225773,1560,227333,0.838319
301,188020,1716,189736,0.862879
302,192538,1646,194184,0.859890
303,184251,1693,185944,0.865382
304,199430,1677,201107,0.855358
305,207191,1511,208702,0.850292
306,212301,1726,214027,0.846977
307,172813,1433,174246,0.873036
308,203787,1461,205248,0.852509
309,234891,1355,236246,0.832526
310,251488,1339,252827,0.822114
311,312866,1311,314177,0.785078
312,378862,1265,380127,0.747712
313,357274,1667,358941,0.759665
314,291448,1271,292719,0.797745
315,410410,1281,411691,0.730703
316,177612,1311,178923,0.869814
317,321542,1674,323216,0.780024
318,216753,1626,218379,0.844103
319,207628,1661,209289,0.850007
320,178747,1684,180431,0.869054
321,222904,1447,224351,0.840153
322,271710,1603,273313,0.809660
323,223635,1561,225196,0.839686
324,205481,1517,206998,0.851404
325,231731,1784,233515,0.834528
326,204562,1686,206248,0.852003
327,180080,1639,181719,0.868163
328,220172,1786,221958,0.841905
329,193672,1979,195651,0.859142
330,266565,1368,267933,0.812805
331,279424,1411,280835,0.804975
332,191575,1260,192835,0.860526
333,178601,1216,179817,0.869152
334,189486,1620,191106,0.861907
335,217558,1487,219045,0.843585
336,174089,1408,175497,0.872178
337,232153,1341,233494,0.834260
338,161074,1734,162808,0.880983
339,152859,1040,153899,0.886601
340,251670,1307,252977,0.822001
341,317242,1658,318900,0.782524
342,192507,1493,194000,0.859911
343,274104,1282,275386,0.808202
344,186760,1324,188084,0.863714
345,255072,1323,256395,0.819889
346,236726,1541,238267,0.831366
347,199354,1361,200715,0.855408
348,190220,1330,191550,0.861422
349,169258,1600,170858,0.875433
350,273193,1272,274465,0.808757
351,176334,1785,178119,0.870670
352,195793,1201,196994,0.857746
353,209582,1337,210919,0.848739
354,142149,1322,143471,0.893994
355,180808,1223,182031,0.867676
356,171076,1404,172480,0.874206
357,182737,1211,183948,0.866390
358,250372,1641,252013,0.822809
359,167621,1250,168871,0.876539
360,135274,1402,136676,0.898781
361,277386,1306,278692,0.806210
362,341724,1240,342964,0.768435
363,243733,1528,245261,0.826957
364,284805,1529,286334,0.801729
365,171109,1658,172767,0.874184
366,256148,1602,257750,0.819222
367,210934,16855,227789,0.847862
368,309718,1626,311344,0.786923
369,218784,1419,220203,0.842796
370,236566,1600,238166,0.831467
371,215793,1813,217606,0.844722
372,167291,1524,168815,0.876763
373,250251,1606,251857,0.822884
374,227765,1335,229100,0.837049
375,239715,1393,241108,0.829482
376,228065,1243,229308,0.836858
377,139390,1727,141117,0.895911
378,266564,1393,267957,0.812806
379,274785,1393,276178,0.807788
380,282765,1559,284324,0.802958
381,201921,1143,203064,0.853728
382,153146,1355,154501,0.886404
383,165049,1342,166391,0.878282
384,161427,1377,162804,0.880743
385,154988,1299,156287,0.885140
386,141580,1164,142744,0.894389
387,160341,1354,161695,0.881483
388,154643,1298,155941,0.885377
389,129666,1036,130702,0.902711
