count_idx,delay_ns,loop_gap_ns,recv_block_ns
807,7023,9722,1496
808,6413,2524,2489
809,4852,3499,2413
810,8788,3430,7512
811,8436,10586,1614
812,6953,2765,1337
813,6806,2308,3296
814,5814,4289,2429
815,8664,3426,7608
816,6928,9189,1453
817,6012,2419,2237
818,4784,3248,2249
819,12591,3269,7126
820,10947,13929,1480
821,8581,2516,1271
822,8075,2246,2673
823,10528,3656,8992
824,6645,10552,1990
825,5276,2999,2488
826,7715,3494,6715
827,6393,8296,2508
828,5788,4782,2285
829,4228,3297,2287
830,20589,3267,19859
831,9366,22993,3568
832,6914,5826,2609
833,4747,3726,2215
834,7633,3224,6960
835,5237,8727,2744
836,5258,3985,2232
837,3992,4519,2295
838,8099,3325,7320
839,6885,8965,2094
840,5652,3115,2606
841,4394,3691,2615
842,7762,3744,6650
843,6614,8254,2599
844,5071,3628,2356
845,10409,4816,8543
846,6998,10143,2624
847,6165,3662,3732
848,20872,5366,21026
849,32653,24077,32992
850,13608,38838,3330
851,9281,5151,1564
852,8345,2752,2815
853,6306,3866,2291
854,121531,6182,125086
855,29801,133112,8849
856,29523,12260,3325
857,30366,5672,3068
858,30562,5053,2545
859,30753,4460,2609
860,31043,4657,2561
861,31593,4464,2668
862,117691,85888,5689
863,116625,10211,1703
864,114499,2812,1246
865,112327,2240,1194
866,110211,2164,1131
867,108091,2148,1167
868,105734,2133,1182
869,103448,2129,1137
870,101344,2094,1112
871,100497,4061,1154
872,110079,2141,12504
873,109437,13541,2118
874,108662,3110,1288
875,107480,2265,1131
876,106585,2119,1157
877,105319,2155,1058
878,104642,2053,1412
879,104670,2404,1137
880,103817,3310,1117
881,102467,2106,1043
882,101617,2021,1155
883,100544,2132,1053
884,99975,2019,1377
885,90587,2355,1030
886,88812,1995,994
887,87389,1965,1109
888,87423,3353,1196
889,86287,2211,1184
890,85206,2145,1200
891,82804,2205,1056
892,81356,1989,990
893,80013,1953,1040
894,78721,2040,1173
895,77518,2128,1044
