count_index,ts_swap,werner,success_bit
724,1789567786408922888,0.000000,0
725,1789567786409330162,0.931000,1
726,1789567786409737197,0.931000,1
727,1789567786410143831,0.931000,1
728,1789567786410550806,0.931000,1
729,1789567786410957951,0.931000,1
730,1789567786411365135,0.000000,0
731,1789567786411771830,0.000000,0
732,1789567786412178684,0.931000,1
733,1789567786412586289,0.000000,0
734,1789567786412993004,0.931000,1
735,1789567786413400398,0.931000,1
736,1789567786413806983,0.000000,0
737,1789567786414214118,0.931000,1
738,1789567786414621212,0.000000,0
739,1789567786415027827,0.000000,0
740,1789567786415434941,0.931000,1
741,1789567786415841916,0.000000,0
742,1789567786416248981,0.000000,0
743,1789567786416656035,0.000000,0
744,1789567786417062690,0.000000,0
745,1789567786417469824,0.000000,0
746,1789567786417876859,0.000000,0
747,1789567786418283724,0.931000,1
748,1789567786418690838,0.000000,0
749,1789567786419097453,0.000000,0
750,1789567786419504248,0.000000,0
751,1789567786419910782,0.000000,0
752,1789567786420317737,0.000000,0
753,1789567786420724461,0.931000,1
754,1789567786421131166,0.931000,1
755,1789567786421538381,0.931000,1
756,1789567786421944955,0.931000,1
757,1789567786422351780,0.931000,1
758,1789567786422758724,0.931000,1
759,1789567786423165319,0.000000,0
760,1789567786423572423,0.000000,0
761,1789567786423979268,0.931000,1
762,1789567786424386353,0.931000,1
763,1789567786424799557,0.000000,0
764,1789567786425206842,0.931000,1
765,1789567786425613906,0.000000,0
766,1789567786426020391,0.000000,0
767,1789567786426427245,0.931000,1
768,1789567786426833850,0.000000,0
769,1789567786427240695,0.000000,0
770,1789567786427647529,0.931000,1
771,1789567786428054114,0.931000,1
772,1789567786428461029,0.000000,0
773,1789567786428867793,0.931000,1
774,1789567786429274888,0.931000,1
775,1789567786429681872,0.931000,1
776,1789567786430088547,0.931000,1
777,1789567786430496022,0.931000,1
778,1789567786430902776,0.000000,0
779,1789567786431309701,0.931000,1
780,1789567786431716575,0.931000,1
781,1789567786432123240,0.000000,0
782,1789567786432530275,0.000000,0
783,1789567786432936899,0.000000,0
784,1789567786433344504,0.931000,1
785,1789567786433751279,0.000000,0
786,1789567786434158123,0.000000,0
787,1789567786434564968,0.000000,0
788,1789567786434971652,0.000000,0
