round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
354,1789997582098245774,0.997286,0.990008,0.000000,0
355,1789997582098447158,0.989539,0.997320,0.986887,1
356,1789997582098643201,0.997502,0.991024,0.988548,1
357,1789997582098839269,0.989792,0.997393,0.987212,1
358,1789997582099040554,0.997610,0.991087,0.988718,1
359,1789997582099239012,0.989554,0.997441,0.987022,1
360,1789997582099432686,0.997280,0.990531,0.000000,0
361,1789997582099630165,0.989873,0.997412,0.987311,1
362,1789997582099843406,0.983478,0.997190,0.000000,0
363,1789997582100020030,0.986517,0.997304,0.000000,0
364,1789997582100202470,0.944578,0.991322,0.936381,1
365,1789997582100373815,0.983345,0.997233,0.000000,0
366,1789997582100600372,0.997456,0.988771,0.986255,1
367,1789997582100817490,0.997459,0.990399,0.000000,0
368,1789997582101027425,0.997471,0.990610,0.000000,0
369,1789997582101256402,0.940177,0.992636,0.933254,1
370,1789997582101432692,0.997616,0.991297,0.988934,1
371,1789997582101627171,0.989283,0.997376,0.986687,1
372,1789997582101804949,0.986917,0.997298,0.984250,1
373,1789997582101995080,0.997549,0.990906,0.000000,0
374,1789997582102197962,0.990351,0.997670,0.988043,1
375,1789997582102393356,0.997726,0.990503,0.988251,1
376,1789997582102594774,0.997497,0.989853,0.987375,1
377,1789997582102795764,0.997472,0.990753,0.988249,1
378,1789997582102994605,0.990046,0.997457,0.987528,1
379,1789997582103189137,0.997586,0.990892,0.988500,1
380,1789997582103374910,0.989860,0.997375,0.000000,0
381,1789997582103557950,0.997645,0.991227,0.988892,1
382,1789997582103757412,0.997612,0.990474,0.988108,1
383,1789997582103946137,0.985546,0.997378,0.000000,0
384,1789997582104137869,0.997326,0.990158,0.987510,1
385,1789997582104340791,0.989733,0.997652,0.987409,1
386,1789997582104538219,0.997621,0.990685,0.988328,1
387,1789997582104736030,0.989600,0.997287,0.000000,0
388,1789997582104928548,0.997678,0.991388,0.989086,1
389,1789997582105126360,0.989869,0.997332,0.987227,1
390,1789997582105319024,0.997566,0.991034,0.988622,1
391,1789997582105512409,0.990027,0.997437,0.987490,1
392,1789997582105705309,0.997524,0.991019,0.988565,1
393,1789997582105904176,0.997564,0.990794,0.988380,1
394,1789997582106085517,0.985917,0.997348,0.000000,0
395,1789997582106282999,0.997605,0.990726,0.000000,0
396,1789997582106487871,0.997364,0.990408,0.000000,0
397,1789997582106681940,0.997647,0.991167,0.000000,0
398,1789997582106889581,0.997480,0.988821,0.000000,0
399,1789997582107093821,0.997563,0.989578,0.987166,1
400,1789997582107280287,0.989350,0.997281,0.000000,0
401,1789997582107476724,0.997648,0.991180,0.988849,1
402,1789997582107682085,0.997399,0.990463,0.987887,1
403,1789997582107875875,0.997652,0.991098,0.000000,0
404,1789997582108065797,0.997135,0.989756,0.986920,1
405,1789997582108368508,0.994090,0.977983,0.000000,0
406,1789997582108623215,0.997510,0.989663,0.000000,0
407,1789997582108826677,0.989797,0.997443,0.987267,1
408,1789997582109032689,0.997471,0.986671,0.984176,1
409,1789997582109230473,0.989587,0.997511,0.987124,1
410,1789997582109427946,0.997645,0.990967,0.000000,0
411,1789997582109624481,0.989825,0.997367,0.987219,1
412,1789997582109818668,0.997441,0.990718,0.988183,1
413,1789997582110033986,0.997587,0.990638,0.988248,1
414,1789997582110246804,0.997268,0.990106,0.987401,1
415,1789997582110445528,0.989692,0.997304,0.987023,1
416,1789997582110641529,0.997640,0.991077,0.988738,1
417,1789997582110846383,0.990095,0.997535,0.987655,1
418,1789997582111042511,0.997684,0.991230,0.988934,1
419,1789997582111242054,0.989704,0.997352,0.000000,0
420,1789997582111435405,0.997439,0.990653,0.988116,1
421,1789997582111636359,0.997293,0.990277,0.000000,0
422,1789997582111830771,0.986870,0.997474,0.984377,1
423,1789997582112013832,0.991448,0.997725,0.989192,1
424,1789997582112207128,0.997642,0.991000,0.988663,1
425,1789997582112400090,0.989519,0.997531,0.987076,1
426,1789997582112623929,0.997184,0.984016,0.981245,1
427,1789997582112861141,0.990581,0.997700,0.988302,1
428,1789997582113111408,0.946447,0.996136,0.942791,1
429,1789997582113308693,0.995377,0.945157,0.940787,1
430,1789997582113504600,0.984117,0.997441,0.981599,1
431,1789997582113718104,0.985861,0.997539,0.983435,1
432,1789997582113900346,0.989992,0.997038,0.987060,1
433,1789997582114098362,0.997555,0.991036,0.988613,1
434,1789997582114294439,0.997409,0.990095,0.987530,1
435,1789997582114504060,0.997430,0.990406,0.987861,1
436,1789997582114697283,0.997465,0.989744,0.000000,0
437,1789997582114891029,0.997609,0.990768,0.000000,0
438,1789997582115086110,0.997418,0.990509,0.987952,1
439,1789997582115271518,0.990036,0.997600,0.987660,1
440,1789997582115460030,0.997667,0.991221,0.000000,0
441,1789997582115661562,0.997515,0.989757,0.000000,0
442,1789997582115856086,0.997521,0.990951,0.988495,1
443,1789997582116043457,0.989958,0.997416,0.987400,1
444,1789997582116235678,0.997632,0.991297,0.988950,1
445,1789997582116441051,0.990319,0.997447,0.000000,0
446,1789997582116648030,0.997594,0.990644,0.988260,1
447,1789997582116844811,0.997563,0.990771,0.000000,0
448,1789997582117033981,0.997473,0.990035,0.987533,1
449,1789997582117231013,0.997541,0.991158,0.988721,1
450,1789997582117425014,0.989851,0.997368,0.987246,1
451,1789997582117619480,0.980526,0.996914,0.977500,1
452,1789997582117765803,0.981255,0.996861,0.000000,0
453,1789997582117926959,0.992314,0.997589,0.989921,1
454,1789997582118120903,0.997616,0.990751,0.988389,1
455,1789997582118315211,0.997615,0.990882,0.000000,0
456,1789997582118507990,0.997500,0.990722,0.988246,1
457,1789997582118720720,0.997616,0.991562,0.000000,0
458,1789997582118934275,0.997387,0.990163,0.987576,1
459,1789997582119129683,0.997539,0.990476,0.988038,1
460,1789997582119331448,0.997431,0.989820,0.987278,1
461,1789997582119552755,0.996859,0.972969,0.969913,1
462,1789997582119752612,0.997456,0.990738,0.000000,0
463,1789997582119947252,0.997469,0.990513,0.000000,0
464,1789997582120142661,0.997490,0.989822,0.987338,1
465,1789997582120345927,0.997623,0.990627,0.000000,0
466,1789997582120543071,0.989685,0.997522,0.000000,0
467,1789997582120808244,0.988360,0.997357,0.000000,0
468,1789997582121046730,0.997265,0.986300,0.983602,1
469,1789997582121267621,0.986227,0.997650,0.000000,0
470,1789997582121472377,0.997637,0.990623,0.000000,0
471,1789997582121678269,0.985154,0.997428,0.982621,1
472,1789997582121867099,0.997435,0.988507,0.000000,0
473,1789997582122075927,0.997729,0.991122,0.988870,1
474,1789997582122273935,0.997394,0.990059,0.987479,1
475,1789997582122466908,0.988915,0.997390,0.000000,0
476,1789997582122667614,0.997544,0.990404,0.987972,1
477,1789997582122861862,0.997439,0.989691,0.987156,1
